id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
"LSHP-010","P0","7","both","新增直连模式与发现方式 CLI 选项","增加 --direct-mode/--direct-discovery/--stun-server 等参数，并将其传入 client/provider/connector 与 server 配置；默认 RelayOnly 不改变现有行为。","CLI help 中出现新参数；默认 relay-only 运行与当前版本一致（不发送直连协商，不做 STUN，不建立 QUIC）；参数解析错误时有明确报错并退出。","AUTOE2E","默认行为必须完全不变；参数命名与兼容性（旧脚本不受影响）；避免在 relay-only 下启动任何额外 goroutine/网络 I/O。","回归跑现有 CLI/集成测试用例；验证 relay-only 下功能一致；验证 direct-only/auto 下参数组合可启动并进入对应状态日志。","已完成","已完成","已完成","已提交","","plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:143;plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:145;linksocks/cli.go:84;linksocks/direct_config.go:1;linksocks/client.go:96;linksocks/server.go:106;linksocks/cli.go:1","picked_reason:P0 且为后续直连功能开关入口，改动面可控且不依赖其它 issue;done_at:2026-02-10;evidence:go test ./...; evidence:linksocks client/server --help shows new flags; evidence:invalid direct-mode returns clear error; evidence:non-relay-only prints Direct mode configured log"
"LSHP-020","P0","3","both","协议扩展：直连协商消息类型","在二进制协议中新增 DirectCapabilities/DirectRendezvous/DirectStatus（含必要字段：session_id、candidates、状态、摘要指标等），并实现 Pack/Parse。","新增消息可 Pack/Parse 往返一致；未知消息类型仍可被安全丢弃或返回明确错误；不影响现有消息（Auth/Connect/Data/Partners 等）解析。","AUTOSERVER","二进制协议变更需兼容旧客户端（feature negotiation）；字段设计避免泄露内网地址（默认仅 public candidates）。","跑完整协议相关单测；与旧版本互通场景（旧 client 连接新 server、新 client 连接旧 server）不崩溃且自动回退 relay-only。","未开始","未开始","未开始","未提交","","plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:76;linksocks/message.go:59;linksocks/message.go:298;linksocks/message.go:461",""
"LSHP-030","P0","3","backend","能力协商与会话状态记录","在 auth 后进行 capability negotiation；server 记录 token/peer 是否支持 direct，并在 connector/provider 之间转发协商消息；老版本缺失 capabilities 时视为不支持。","新 client 可在 server 上看到对端是否支持 direct；老 client 仍可正常中转；协商消息不会影响现有 Connect/Data 路由。","AUTOSERVER","避免在 server 侧引入 UDP 依赖以保持 Worker/DO 可用；确保 connectorMessageDispatcher/messageDispatcher 行为不变。","回归三层中转（connector->server->provider）全流程；验证混部（新/旧）自动回退 relay-only。","未开始","未开始","未开始","未提交","","plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:76;linksocks/server.go:805;linksocks/server.go:1192",""
"LSHP-040","P0","4","backend","外部 STUN 客户端：获取 srflx candidate","实现 STUN Binding（UDP）以获取公网映射 IP:Port，支持多个 STUN server、超时、并发探测与结果选择，并提供统一接口给 direct discovery。","在可达网络下可得到稳定的 srflx candidate（ip:port）；STUN 不可达时快速失败并触发 auto 回退；支持配置多 STUN server 并选取可用结果。","AUTOSERVER","实现需可在 connector/provider 两端复用；注意超时与资源释放；日志中避免输出敏感 token。","回归：STUN 不可达/超时场景不影响 relay-only；auto 模式下 STUN 失败不阻塞中转建立。","未开始","未开始","未开始","未提交","","plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:95;plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:143;linksocks/client.go:833",""
"LSHP-045","P2","4","backend","可选：自建 UDP rendezvous（非 Worker 部署）","在非 Worker 部署形态下可选实现 server UDP rendezvous（最小 STUN 子集）作为 STUN 的替代/补充；Worker/DO 形态不要求该功能。","当启用 direct-discovery=server/auto 且 server 支持 UDP 时：client 可获取 server 观测到的 src ip:port；禁用或在 Worker 形态下不影响功能（自动回到 STUN/relay）。","AUTOE2E","必须明确隔离 Worker/DO 形态（不可引入强依赖）；需要限流与会话绑定，避免成为开放反射器。","回归：关闭 direct/relay-only 时 server 行为不变；启用 UDP rendezvous 时仅在配置开启下监听端口。","未开始","未开始","未开始","未提交","","plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:100;plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:143;linksocks/server.go:805",""
"LSHP-050","P0","4","both","候选交换与探测编排（ICE-lite 风格）","通过 WS 控制面交换 candidates，并实现双方并发探测（打洞包/连通性检查）与结果上报（ready/failed）。","在 Auto/DirectOnly 模式下：双方能交换 candidates 并启动探测；探测失败会在限定时间内收敛为 failed；Auto 不影响中转；DirectOnly 按配置退出或拒绝请求。","AUTOE2E","并发探测需可取消；避免对称 NAT 下长时间卡死；状态上报频率需限流；默认不交换私网地址。","回归：无直连能力或 STUN 失败时自动回退 relay-only/relay path；确认不会影响 connectorMessageDispatcher 的中转转发。","未开始","未开始","未开始","未提交","","plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:91;plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:95;linksocks/server.go:1192;linksocks/client.go:833",""
"LSHP-060","P1","3","both","直连会话安全：session_id 与密钥派生","为直连建立一次性 session_id，并设计 session_key 派生与对端鉴权（用于 QUIC 握手或应用层握手 token），避免未授权 peer 接入与重放。","直连握手阶段能拒绝错误 session_id/密钥；不会泄露长期 token；日志不打印密钥材料；失败不影响中转。","AUTOSERVER","安全设计需最小化 server 权限（仅信令转发）；考虑重放、过期、并发会话与资源回收。","回归：老版本仍可中转；直连失败不会导致进程崩溃或卡死；安全失败路径可观测。","未开始","未开始","未开始","未提交","","plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:76;plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:116;linksocks/message.go:298",""
"LSHP-070","P0","5","backend","QUIC 连接管理：并发 dial/listen 建连","实现 direct transport 的连接管理器：基于候选并发 dial/listen，建立并保持 QUIC 连接（含 keepalive 配置），向上提供 Send/Recv 能力。","在可达网络下 QUIC 能建立并保持；建连超时可控；连接断开能进入 degraded 并触发回退；资源（UDP socket、goroutine）可回收。","AUTOE2E","建连策略避免阻塞中转；需要可取消上下文；对端切换/重连时状态一致。","回归：relay-only 不引入 QUIC 依赖路径执行；auto 模式下建连失败不影响代理可用性。","未开始","未开始","未开始","未提交","","plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:116;plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:58",""
"LSHP-080","P0","5","backend","QUIC 数据面：channel_id 到 stream 映射与消息承载","在 QUIC 上实现多路复用：为每个新 channel 创建 stream，并在 stream 上承载 Connect/ConnectResponse/Data/Disconnect 等语义；保持与现有 Relay 行为一致。","新建 channel 可通过 QUIC 正常完成 connect->data->disconnect；乱序/丢包不导致数据混乱（依赖 QUIC 可靠传输）；关闭/错误可正确清理通道与队列。","AUTOSERVER","需复用现有 Relay 的通道管理语义（messageQueues、timeout）；避免引入第二套不一致的 channel 生命周期。","回归：直连关闭时不影响现有 Relay；直连开启但未 ready 时仍走中转；不迁移存量 channel。","未开始","未开始","未开始","未提交","","plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:116;linksocks/relay.go:332;linksocks/server.go:1192",""
"LSHP-090","P0","2","both","Transport 路由与状态机：新通道选择 direct 或 relay","实现 direct/relay 双 transport 并存的路由层：按 direct 状态机决定新 channel 走哪条链路；严格保证同一 channel 生命周期不切换。","Auto 模式下：中转立即可用；直连 ready 后新 channel 走直连；直连退化后新 channel 回中转；同一 channel 不发生混用。","AUTOSERVER","状态机切换要有抖动抑制；错误路径必须可观测；不得影响现有中转通道路由（connectorMessageDispatcher）。","回归：现有 tests 全绿；新增针对状态机的单测覆盖 RelayOnly/Probing/Ready/Degraded。","未开始","未开始","未开始","未提交","","plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:58;plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:27;linksocks/server.go:1192;linksocks/client.go:833",""
"LSHP-100","P1","7","both","DirectOnly 模式：仅直连数据面且可拒绝请求","实现 direct-only 行为：仍连接 WS 做鉴权与信令，但不走 WS relay 数据面；直连未 ready 时按 direct-only-action 退出或拒绝代理连接。","direct-only-action=exit 时直连失败明确退出；direct-only-action=refuse 时 SOCKS 请求被拒绝且给出可诊断错误；不会出现静默回退到中转。","AUTOE2E","direct-only 逻辑必须与 auto/relay-only 清晰隔离；避免误把 WS relay 当可用数据面。","回归：relay-only/auto 行为不受影响；direct-only 下不会向 server 发送任何中转数据消息用于转发目标流量。","未开始","未开始","未开始","未提交","","plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:27;plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:143;linksocks/client.go:1095",""
"LSHP-110","P0","6","backend","健康检查与自动降级/升级（避免抖动）","实现 direct 的健康指标收集与策略：失败次数、超时、RTT/重传等触发 degraded；恢复后再升级 ready；确保回退只影响新通道。","满足阈值后能进入 DirectDegraded 并使新通道回中转；恢复健康后能回到 DirectReady；切换有抖动抑制（不会频繁 oscillate）。","AUTOSERVER","阈值与时间参数要可配置；健康检测开销可控；保证中转路径不被阻塞。","回归：故障注入（断开 QUIC、丢包模拟）可触发降级；恢复后可重新 ready；现有中转功能正常。","未开始","未开始","未开始","未提交","","plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:133;plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:58",""
"LSHP-120","P0","4","backend","Worker/DO 兼容性：默认 STUN discovery，不依赖 server UDP","确保 direct discovery 默认走外部 STUN；server 不要求 UDP；server UDP rendezvous 仅在非 Worker 部署显式启用时才需要；控制面信令保持 WS 可实现。","在不支持 UDP 监听的 server 形态下（Worker/DO）：relay-only 与 auto(stun) 可运行；direct-discovery=server 时给出明确错误或自动回退（按设计）；不会导致 server 启动失败。","AUTOE2E","避免把 UDP 监听作为必选依赖；配置/日志需清晰指出当前 discovery 模式与降级原因。","回归：worker 形态配置下跑 auto(stun) 与 relay-only；确认无 UDP 依赖路径被触发。","未开始","未开始","未开始","未提交","","plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:95;plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:143;linksocks/server.go:805",""
"LSHP-130","P0","8","backend","单测：协议与状态机覆盖","补齐协议新增消息的 Pack/Parse 单测，以及 transport 路由/状态机单测（RelayOnly/Probing/Ready/Degraded/Disabled）。","go test ./... 通过；新增单测覆盖核心状态分支；失败用例可复现（例如 STUN 超时、对端不支持）。","AUTOSERVER","单测应避免依赖真实外部网络；对时间相关逻辑使用可注入时钟或缩短超时。","回归：跑全量单测与 race 检测（如启用）；确保无数据竞争引入。","未开始","未开始","未开始","未提交","","plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:162;linksocks/message.go:298;linksocks/message.go:461",""
"LSHP-140","P0","8","both","E2E：直连成功/失败/UDP 阻断下的自动回退验证","新增端到端用例覆盖：relay-only 基线；auto(stun) 且 STUN 不可达/UDP 被阻断时仍可中转；auto 下直连成功后新通道走直连；直连断开后新通道回中转。","E2E 用例可稳定复现三种模式；在 UDP 阻断下中转可用且无明显额外延迟；直连成功时可通过指标/日志断言新通道路径为 direct。","AUTOE2E","测试需可在 CI 环境运行或提供可选开关；避免依赖不稳定的公共 STUN（可 mock 或本地 STUN 容器）。","回归：不影响现有 tests；失败时给出清晰诊断信息（是 STUN 不可达、对称 NAT、还是 QUIC 失败）。","未开始","未开始","未开始","未提交","","plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:162;plan/2026-02-10_14-16-06-agent-proxy-direct-holepunch.md:27;linksocks/server.go:1192;linksocks/cli.go:84",""
